name,entry_type,category,status,expected_type,default,values_constraints,canonical_field_target,aliases,effect_role,remarks,sources,source_inventory
livevis_control.kv:clip,control_file_key,Clé fichier contrôle livevis,ajout 0341a,double; <=0 active comportement auto/default selon renderer,initialisé depuis LIVE_VIS_CLIP,,,,Change à chaud l’échelle de saturation/clip du champ affiché.,"Pour le renderer CUDA, clip<=0 utilise le défaut interne dépendant du champ.",src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
livevis_control.kv:colormap,control_file_key,Clé fichier contrôle livevis,ajout 0342a,blue_red | gray | thermal,initialisé depuis LIVE_VIS_COLORMAP,,,,Change à chaud le colormap utilisé pour convertir le champ scalaire en RGBA.,N’affecte que la visualisation. Alias: grey/grayscale/greyscale -> gray; heat/hot -> thermal.,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; doc/livevis_colormap_control_0342a.md,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
livevis_control.kv:field,control_file_key,Clé fichier contrôle livevis,ajout 0341a | mis à jour 0361,ux | uy | vx | vy | speed | density | mass | N | n | count | population | particle_count | cell_count | vorticity | omega | curl | chi | topo_chi | alpha | darcy_alpha | darcy_power | darcy | brinkman_power,initialisé depuis LIVE_VIS_FIELD/SRC_LIVE_VIS_FIELD,voir Type attendu,,,Change à chaud le champ scalaire affiché.,omega et curl sont des alias de vorticity dans le renderer CUDA 0341a. | N/count affiche le nombre de particules fluides par cellule live.,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu | src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; include/cuda_live_field_0337.h; src/main_src_mpcd_base.cpp; doc/livevis_field_N_0361.md; doc/livevis_field_minmax_0363.md; doc/livevis_quiver_overlay_0364.md; doc/livevis_quiver_smoothing_0365.md,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | session_0361_0365_livevis
livevis_control.kv:gain,control_file_key,Clé fichier contrôle livevis,ajout 0341a,double > 0,initialisé depuis LIVE_VIS_GAIN,,,,Change à chaud le gain multiplicatif de visualisation.,Borné côté binaire à un minimum numérique positif.,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
livevis_control.kv:quiverMinSpeed,control_file_key,Clé fichier contrôle livevis,ajout 0364,double >= 0,0,,,,Change à chaud le seuil minimal de vitesse pour dessiner les segments.,,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; include/cuda_live_field_0337.h; src/main_src_mpcd_base.cpp; doc/livevis_field_N_0361.md; doc/livevis_field_minmax_0363.md; doc/livevis_quiver_overlay_0364.md; doc/livevis_quiver_smoothing_0365.md,session_0361_0365_livevis
livevis_control.kv:quiverNx,control_file_key,Clé fichier contrôle livevis,ajout 0364,entier >= 1,60,,,,Change à chaud le nombre de colonnes de la grille quiver.,,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; include/cuda_live_field_0337.h; src/main_src_mpcd_base.cpp; doc/livevis_field_N_0361.md; doc/livevis_field_minmax_0363.md; doc/livevis_quiver_overlay_0364.md; doc/livevis_quiver_smoothing_0365.md,session_0361_0365_livevis
livevis_control.kv:quiverNy,control_file_key,Clé fichier contrôle livevis,ajout 0364,entier >= 1,32,,,,Change à chaud le nombre de lignes de la grille quiver.,,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; include/cuda_live_field_0337.h; src/main_src_mpcd_base.cpp; doc/livevis_field_N_0361.md; doc/livevis_field_minmax_0363.md; doc/livevis_quiver_overlay_0364.md; doc/livevis_quiver_smoothing_0365.md,session_0361_0365_livevis
livevis_control.kv:quiverScale,control_file_key,Clé fichier contrôle livevis,ajout 0364,double,-1,,,,Change à chaud le gain manuel des segments vitesse.,<0 désactive l’overlay; >=0 l’active.,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; include/cuda_live_field_0337.h; src/main_src_mpcd_base.cpp; doc/livevis_field_N_0361.md; doc/livevis_field_minmax_0363.md; doc/livevis_quiver_overlay_0364.md; doc/livevis_quiver_smoothing_0365.md,session_0361_0365_livevis
livevis_control.kv:quiverSmoothPasses,control_file_key,Clé fichier contrôle livevis,ajout 0365,entier; -1 ou >=0,-1,,,,Change à chaud le lissage des vecteurs quiver.,<0 réutilise smoothPasses; utile pour field=N non lissé avec vecteurs lissés.,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; include/cuda_live_field_0337.h; src/main_src_mpcd_base.cpp; doc/livevis_field_N_0361.md; doc/livevis_field_minmax_0363.md; doc/livevis_quiver_overlay_0364.md; doc/livevis_quiver_smoothing_0365.md,session_0361_0365_livevis
livevis_control.kv:smoothPasses,control_file_key,Clé fichier contrôle livevis,ajout 0341a,entier >= 0,initialisé depuis LIVE_VIS_SMOOTH_PASSES,,,,Change à chaud le nombre de passes de lissage du champ affiché.,Augmenter fortement cette valeur peut augmenter le coût du renderer livevis.,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
